title,poster,year,cast,score,cert,rt_link,exact_match,query_str,listing_title
The Bodyguard,https://resizing.flixster.com/14K2trU-a0zHvJTympL5Mg5j_Q0=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p14406_p_v12_ax.jpg,1992,"Kevin Costner,Whitney Houston,Gary Kemp",38,rotten,https://www.rottentomatoes.com/m/the_bodyguard_1992,True,The Bodyguard | Mick Jackson,The Bodyguard
Beach Girls and the Monster,https://resizing.flixster.com/F3UwchmfGKSmv9SJFUNE298UrsA=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p50341_p_v8_aa.jpg,1965,"Jon Hall,Sue Casey,Walker Edmiston",,,https://www.rottentomatoes.com/m/beach_girls_and_the_monster,False,Beach Girs & the Monster |,Beach Girs & the Monster
Teenagers From Outer Space,https://resizing.flixster.com/aPB-9-0xwrsmrxgJH94z27hPL2M=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p52093_p_v8_ab.jpg,1959,"David Love,Dawn Anderson,Harvey B. Dunn",,,https://www.rottentomatoes.com/m/teenagers_from_outer_space,False,Teenagers From Outer Spac |,Teenagers From Outer Spac
Parasite,https://resizing.flixster.com/prUGmXSxxnCKRYdsck6ENP1MIuI=/fit-in/80x126/v2/https://resizing.flixster.com/0nQ2niq2j-E4gdW_kB5H606atmc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZlZWEwMmY4LTk1OWUtNGEyOS04ODRmLTA0OWRjMzhlYWZkNi53ZWJw,2019,"Song Kang-ho,Lee Sun-gyun,Jo Yeo-jeong",99,certified-fresh,https://www.rottentomatoes.com/m/parasite_2019,False,The Host (2006) | Bong Joon Ho,The Host (2006)
National Theatre Live: Good,https://resizing.flixster.com/2GGRvRkMG4WJYy03fppZGjgeABs=/fit-in/80x126/v2/https://resizing.flixster.com/AMpOR44tEHMB1d5z1B58u2ao2LM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg1MjBkOGIxLWEyOTctNDM4Zi1hYjcyLWE0YjM3NjVjMWM4MS5qcGc=,2023,"David Tennant,Elliot Levey,Sharon Small",,,https://www.rottentomatoes.com/m/national_theatre_live_good,False,GOOD | Dominic Cooke,GOOD
Rock 'n' Roll High School,https://resizing.flixster.com/blFvORjuQ0IK7A0wm0R-Xj3fofg=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p1589_p_v8_aa.jpg,1979,"P.J. Soles,Vincent Van Patten,Clint Howard",81,fresh,https://www.rottentomatoes.com/m/1017745-rock_n_roll_high_school,True,Rock 'N' Roll High School |,Rock 'N' Roll High School
Jawbreaker,https://resizing.flixster.com/mdZz7r5MX9hxMa2G2LCq5RE1d54=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/17245/17245_aa.jpg,1999,"Rose McGowan,Rebecca Gayheart,Julie Benz",14,rotten,https://www.rottentomatoes.com/m/jawbreaker,True,Jawbreaker | Darren Stein,Jawbreaker
We Are Next of Kin,https://resizing.flixster.com/Gk__JbH7W5_XAJmM_UFjNEqDcsA=/fit-in/80x126/v2/https://resizing.flixster.com/e2l8-_9DIl6DQ_RKWVifzWfVPGQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg4ZDQxYmE4LWRhYWQtNDA4ZC1iYzc4LTJiYWQyZDI5MmMzYS5qcGc=,2022,"Claude Heinrich,Adina Vetter,Justus von Dohnányi",,,https://www.rottentomatoes.com/m/we_are_next_of_kin,False,We Are Next of Kin | Hans-Christian Schmid,We Are Next of Kin
Charade,https://resizing.flixster.com/gdn_SKPwVF1RS9UwW-Qw2IbbikA=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p3421_p_v8_aj.jpg,1963,"Cary Grant,Audrey Hepburn,Walter Matthau",94,certified-fresh,https://www.rottentomatoes.com/m/1003883-charade,True,Charade | Stanley Donen,Charade
"What's Up, Doc?",https://resizing.flixster.com/Rqm3cOhkJ_iaDnLoTv3JOHkIsb8=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p1151_p_v8_aa.jpg,1972,"Barbra Streisand,Ryan O'Neal,Madeline Kahn",89,certified-fresh,https://www.rottentomatoes.com/m/whats_up_doc,False,"What’s Up, Doc? | Peter Bogdanovich","What’s Up, Doc?"
Terminator 2: Judgment Day,https://resizing.flixster.com/OcQMoV0qvuB0VmFXxHk5Zjc66Zg=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p13308_p_v8_ag.jpg,1991,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",92,certified-fresh,https://www.rottentomatoes.com/m/terminator_2_judgment_day,True,Terminator 2: Judgment Day | James Cameron,Terminator 2: Judgment Day
The Man Who Laughs,https://resizing.flixster.com/kIwZfU3xrSwbQ2eGIVewy5fESaU=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p68117_p_v8_ab.jpg,1928,"Conrad Veidt,Mary Philbin,Olga Baclanova",100,fresh,https://www.rottentomatoes.com/m/the_man_who_laughs_1928,False,Silents: Mantrap |,Silents: Mantrap
The Canadian Surfer Movie,https://resizing.flixster.com/NVYJCcnclT0255bBY2W44DG-Oww=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p13039564_p_v8_aa.jpg,2013,,,,https://www.rottentomatoes.com/m/the_canadian_surfer_movie,False,Silents: The Canadian |,Silents: The Canadian
The Fire Within: A Requiem for Katia and Maurice Krafft,https://resizing.flixster.com/qoukdFHGPtgVtlbINSFTkLGBu04=/fit-in/80x126/v2/https://resizing.flixster.com/c81UzzL1PNeYvNsn7wSOCOJIv8g=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QzMDAwZmZhLTZkMmEtNDU3NC1iNjAxLTFmOWYyZTM4ZTA4Ny5qcGc=,2022,"Werner Herzog,Katia Krafft,Maurice Krafft",86,fresh,https://www.rottentomatoes.com/m/the_fire_within_a_requiem_for_katia_and_maurice_krafft,False,Silents: The Fire Brigade |,Silents: The Fire Brigade
The Big Parade,https://resizing.flixster.com/3hGDSD8CyGitLPmQawbR4ykIdFw=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p10232_p_v8_aa.jpg,1925,"John Gilbert,Renée Adorée,Hobart Bosworth",100,fresh,https://www.rottentomatoes.com/m/the_big_parade,False,Silents: The Big Parade |,Silents: The Big Parade
